City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Maragogi,BR,-9.01,-35.22,75.79,85,21,9.95,few clouds
187,Geraldton,AU,-28.77,114.6,69.8,60,75,18.34,light rain
188,Cape Town,ZA,-33.93,18.42,64.99,68,0,8.05,clear sky
189,Meybod,IR,32.25,54.02,59.0,21,0,2.24,clear sky
190,Kavaratti,IN,10.57,72.64,84.2,79,40,4.7,scattered clouds
191,Shanghai,CN,31.22,121.46,75.0,53,75,8.95,broken clouds
192,Porto Santo,PT,33.07,-16.34,66.2,88,20,4.7,few clouds
193,Lubango,AO,-14.92,13.49,63.43,75,22,2.35,light rain
194,Sines,PT,37.96,-8.87,62.01,1,84,3.0,broken clouds
195,Yaan,NG,7.38,8.57,72.7,96,77,4.36,broken clouds
196,Alice Springs,AU,-23.7,133.88,96.8,9,0,6.93,clear sky
197,Villazon,BO,-22.09,-65.59,44.35,66,24,9.66,few clouds
198,Nome,US,64.5,-165.41,12.2,85,1,4.61,clear sky
199,Cherskiy,RU,68.75,161.3,0.18,91,93,5.35,overcast clouds
200,Dukat,RU,62.55,155.55,14.86,96,100,5.26,overcast clouds
201,Arraial Do Cabo,BR,-22.97,-42.03,67.77,71,1,14.85,clear sky
202,Half Moon Bay,US,37.46,-122.43,63.0,82,5,4.59,clear sky
203,Matara,LK,5.95,80.54,88.14,58,21,6.11,few clouds
204,Itarema,BR,-2.92,-39.92,80.37,76,66,10.67,broken clouds
205,Nuuk,GL,64.18,-51.72,24.8,85,1,8.05,clear sky
206,Mokobeng,BW,-23.0,27.67,66.43,73,100,17.69,overcast clouds
207,Rawson,AR,-43.3,-65.1,75.34,22,93,21.92,overcast clouds
208,Castro,BR,-24.79,-50.01,50.49,86,62,9.78,broken clouds
209,Cabo San Lucas,MX,22.89,-109.91,77.0,69,5,4.12,clear sky
210,Nachingwea,TZ,-10.38,38.77,75.22,68,41,4.34,scattered clouds
211,Haines Junction,CA,60.75,-137.51,6.8,84,100,2.24,overcast clouds
212,Huarmey,PE,-10.07,-78.15,60.69,87,37,6.91,scattered clouds
213,Daru,PG,-9.08,143.21,84.33,75,85,12.84,overcast clouds
214,Caxito,AO,-8.58,13.66,77.0,83,90,6.93,overcast clouds
215,Kaduna,NG,10.52,7.44,69.15,35,100,7.49,overcast clouds
216,Cedar City,US,37.68,-113.06,48.2,23,1,3.36,clear sky
217,Cartagena,CO,10.4,-75.51,77.0,100,40,4.7,scattered clouds
218,Najran,SA,17.49,44.13,55.4,35,0,3.51,clear sky
219,Kot Samaba,PK,28.55,70.47,88.5,11,0,10.56,clear sky
220,Takoradi,GH,4.88,-1.76,77.14,89,55,5.39,broken clouds
221,Quatre Cocos,MU,-20.21,57.76,75.2,57,75,10.29,broken clouds
222,Turayf,SA,31.67,38.66,57.2,93,40,8.05,scattered clouds
223,Kaeo,NZ,-35.1,173.78,70.0,83,99,8.99,light rain
224,Manoel Urbano,BR,-8.84,-69.26,71.73,77,18,1.54,few clouds
225,Sosua,DO,19.77,-70.52,78.01,87,100,10.63,overcast clouds
226,Lebu,CL,-37.62,-73.65,51.91,94,92,8.68,overcast clouds
227,Tommot,RU,58.96,126.29,1.54,87,100,1.77,overcast clouds
228,Lata,PT,40.16,-8.33,64.0,96,83,1.25,broken clouds
229,Chokurdakh,RU,70.63,147.92,-1.17,93,100,13.0,light snow
230,Cheney,US,47.49,-117.58,44.01,70,1,6.93,clear sky
231,Havelock,US,34.88,-76.9,57.99,93,1,12.75,clear sky
232,Jalu,LY,29.03,21.55,60.73,73,1,6.69,clear sky
233,Galle,LK,6.04,80.22,84.9,66,17,7.92,few clouds
234,Catamarca,AR,-28.47,-65.79,53.01,59,99,13.4,overcast clouds
235,Ponta Do Sol,PT,32.67,-17.1,66.99,72,20,5.82,few clouds
236,Vostok,RU,46.49,135.88,32.86,90,81,10.16,broken clouds
237,Samana,DO,19.21,-69.34,77.92,85,87,7.9,overcast clouds
238,Alvarado,MX,18.77,-95.77,78.01,69,20,11.41,few clouds
239,Mount Gambier,AU,-37.83,140.77,82.4,28,68,12.75,broken clouds
240,San Cristobal,VE,7.77,-72.22,66.25,93,99,1.7,light rain
241,Davila,PH,18.47,120.58,86.0,79,75,10.29,shower rain
242,Shambu,ET,9.57,37.1,55.09,87,7,3.4,clear sky
243,Chara,RU,56.91,118.26,-0.94,85,17,2.33,few clouds
244,Chake Chake,TZ,-5.25,39.77,80.55,69,7,5.68,clear sky
245,Padilla,CO,3.22,-76.31,71.6,78,75,5.82,broken clouds
246,Ajdabiya,LY,30.76,20.23,63.63,72,1,5.73,clear sky
247,Loviisa,FI,60.46,26.23,42.01,87,82,1.99,broken clouds
248,Dungarpur,IN,23.83,73.72,80.62,18,1,7.4,clear sky
249,Yangmei,CN,24.1,112.56,70.92,64,29,7.81,scattered clouds
250,Bambous Virieux,MU,-20.34,57.76,75.2,57,75,10.29,broken clouds
251,Sao Felix Do Xingu,BR,-6.64,-51.99,71.64,95,92,1.7,light rain
252,Tabou,CI,4.42,-7.35,76.93,89,44,4.88,scattered clouds
253,Pevek,RU,69.7,170.31,14.94,97,100,7.67,light snow
254,Mar Del Plata,AR,-38.0,-57.56,57.99,93,0,3.36,clear sky
255,Nonoichi,JP,36.53,136.62,62.01,87,90,4.7,light intensity shower rain
256,Diu,IN,20.71,70.98,86.56,36,0,14.29,clear sky
257,Nhulunbuy,AU,-12.23,136.77,91.4,49,20,13.87,few clouds
258,Tessalit,ML,20.2,1.01,70.59,27,68,17.25,broken clouds
259,Doha,QA,25.29,51.53,82.4,54,0,4.7,clear sky
260,Port Hardy,CA,50.7,-127.42,55.4,93,90,2.24,overcast clouds
261,Poum,NC,-20.23,164.02,78.31,73,69,8.7,light rain
262,Baltay,RU,52.47,46.63,39.4,86,17,9.24,few clouds
263,Turan,VN,16.07,108.22,82.4,65,40,8.05,scattered clouds
264,Emmett,US,43.87,-116.5,48.0,48,0,2.26,clear sky
265,Cidreira,BR,-30.18,-50.21,60.66,65,8,4.03,clear sky
266,Soto La Marina,MX,23.77,-98.22,64.0,86,0,3.0,clear sky
267,Faanui,PF,-16.48,-151.75,80.42,79,17,19.8,light rain
268,Vanavara,RU,60.34,102.28,24.04,96,100,10.94,light snow
269,Shimoda,JP,34.67,138.95,73.4,64,75,16.11,light rain
270,Vao,NC,-22.67,167.48,74.53,82,100,14.25,overcast clouds
271,Honiara,SB,-9.43,159.95,84.2,79,40,4.7,scattered clouds
272,Luderitz,NA,-26.65,15.16,59.67,78,82,3.62,broken clouds
273,Eureka,US,40.8,-124.16,50.0,93,1,8.05,clear sky
274,Salalah,OM,17.02,54.09,77.0,38,0,5.82,clear sky
275,Jurm,AF,36.86,70.83,58.98,20,46,1.43,scattered clouds
276,Milyutinskaya,RU,48.63,41.67,53.56,85,100,14.88,light rain
277,San Policarpo,PH,12.18,125.51,83.35,80,97,6.4,light rain
278,Zabid,YE,14.2,43.32,83.21,43,0,0.85,clear sky
279,Cacapava Do Sul,BR,-30.51,-53.49,45.77,100,0,3.8,clear sky
280,Zhigansk,RU,66.77,123.37,2.7,92,100,22.15,overcast clouds
281,Ancud,CL,-41.87,-73.82,46.99,93,50,4.7,scattered clouds
282,Pangnirtung,CA,66.15,-65.71,7.3,83,44,5.88,scattered clouds
283,Ulaangom,MN,49.98,92.07,33.17,86,87,4.03,overcast clouds
284,Portobelo,PA,9.55,-79.65,77.0,99,100,10.0,light rain
285,Sungai Petani,MY,5.65,100.49,84.2,79,40,5.82,scattered clouds
286,Bilma,NE,18.69,12.92,65.19,35,0,10.63,clear sky
287,Ziro,IN,27.63,93.83,84.2,74,40,3.36,scattered clouds
288,Tilichiki,RU,60.47,166.1,27.39,95,80,3.29,broken clouds
289,Donetsk,UA,48.0,37.8,51.67,78,95,15.17,light rain
290,Pisco,PE,-13.7,-76.22,64.4,82,90,9.17,overcast clouds
291,Toucheng,TW,24.86,121.82,82.99,69,75,8.05,shower rain
292,Glyadyanskoye,RU,54.91,65.09,28.54,97,30,3.74,scattered clouds
293,Sunndalsora,NO,62.68,8.55,51.8,50,98,21.92,light rain
294,Yulara,AU,-25.24,130.99,100.4,9,0,12.75,clear sky
295,Gimli,CA,50.63,-96.99,35.6,64,85,14.99,overcast clouds
296,Roebourne,AU,-20.78,117.13,86.11,35,19,19.33,few clouds
297,Guapi,CO,2.57,-77.89,75.15,92,87,2.71,overcast clouds
298,Banda Aceh,ID,5.56,95.32,84.88,68,100,8.81,overcast clouds
299,Rudbar,AF,30.15,62.6,70.79,16,0,1.9,clear sky
300,Sitka,US,57.05,-135.33,57.2,82,90,34.45,moderate rain
301,Narsaq,GL,60.92,-46.05,17.6,61,0,5.82,clear sky
302,Sambava,MG,-14.27,50.17,75.9,55,40,11.14,scattered clouds
303,Longyearbyen,SJ,78.22,15.64,28.02,95,66,8.77,broken clouds
304,Nangong,CN,37.36,115.37,61.27,26,0,9.71,clear sky
305,Meulaboh,ID,4.14,96.13,85.91,65,85,3.06,light rain
306,Xining,CN,36.62,101.77,41.49,56,11,2.33,few clouds
307,Talaja,IN,21.35,72.05,87.01,33,0,13.35,clear sky
308,Zhizdra,RU,53.75,34.74,44.06,95,90,6.64,overcast clouds
309,Le Port,RE,-20.94,55.29,78.8,50,40,6.93,scattered clouds
