City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,Nelson Bay,AU,70.0,broken clouds,-32.72,152.15,Mantra Nelson Bay
442,Baruun-Urt,MN,23.58,clear sky,46.68,113.28,Ахмадын амралт сувилал
443,Synya,RU,26.76,light snow,65.37,58.04,
444,Naze,JP,80.6,scattered clouds,28.37,129.48,奄美ポートタワーホテル
445,Porto Velho,BR,77.0,scattered clouds,-8.76,-63.9,Hotel Vila Rica Porto Velho
446,Tautira,PF,82.4,shower rain,-17.73,-149.15,Pension Oaoa
447,Prainha,BR,80.71,broken clouds,-1.8,-53.48,Hotel Brasília
448,Warrnambool,AU,80.01,few clouds,-38.38,142.48,Lady Bay Resort
449,Estacion Coahuila,MX,75.2,clear sky,32.19,-115.0,carroceria y pintura Kikones
450,Markapur,IN,84.51,clear sky,15.73,79.28,VIHARI GRAND INN
451,Ossora,RU,33.15,overcast clouds,59.24,163.07,
453,Pangody,RU,24.13,broken clouds,65.85,74.49,Elizaveta Shevchuk's House
454,Beya,RU,42.21,scattered clouds,53.05,90.91,
455,Burnie,AU,63.0,broken clouds,-41.07,145.92,Beachfront Voyager Motor Inn
456,Angoche,MZ,80.06,broken clouds,-16.23,39.91,Guest House HESADA
457,Qaqortoq,GL,17.6,clear sky,60.72,-46.03,Hotel Qaqortoq
458,Smidovich,RU,37.63,broken clouds,48.6,133.82,Gostinnitsa
459,Nicoya,CR,72.88,moderate rain,10.15,-85.45,Guayacan Real
460,Mormugao,IN,84.2,light rain,15.4,73.8,Coconut Creek Resort
461,Tromso,NO,48.2,broken clouds,69.65,18.96,"Radisson Blu Hotel, Tromsø"
462,Cayambe,EC,48.2,mist,0.05,-78.13,Hosteria Jatun huasi
463,Yerbogachen,RU,15.28,broken clouds,61.28,108.01,
464,Sakakah,SA,66.2,dust,29.97,40.21,Fakhamat Al Orjoana Apartment
465,Salinopolis,BR,78.67,broken clouds,-0.61,-47.36,Hotel Salinópolis
466,Kampot,KH,87.8,few clouds,10.62,104.18,Champa Lodge
467,Neuquen,AR,71.6,clear sky,-38.95,-68.06,Hotel del Comahue
468,Hasaki,JP,72.0,shower rain,35.73,140.83,Inubosaki Kanko Hotel
469,Isangel,VU,86.0,broken clouds,-19.55,169.27,Volcano Sea View Tree House
470,Buala,SB,85.77,light rain,-8.14,159.59,Maringe Lagoon Lodge
471,Chapais,CA,30.2,light snow,49.78,-74.85,Hôtel Opémiska
472,Oriximina,BR,80.11,light rain,-1.77,-55.87,Pousada Tia Amélia
473,Kyabe,TD,75.0,overcast clouds,9.45,18.94,
